;Фамилия##OTHER##;Да/Нет##number##general
;;0
;;1
Деминов;Деминов;2
Крапивин;Крапивин;3
Мальцева;Мальцева;4
Сергеева О.;Сергеева О.;5
Подоляк;Подоляк;6
Блинова;Блинова;7
Шестов;Шестов;8
Шипулин;Шипулин;9
